2020, 29: (19, 8, 35, 2, 21, 33, 7)
2020, 28: (31, 15, 32, 13, 18, 29, 4)
2020, 27: (20, 32, 8, 16, 17, 2, 23)
2020, 26: (31, 29, 9, 16, 37, 27, 5)
2020, 25: (10, 20, 13, 31, 4, 14, 19)
2020, 24: (23, 15, 14, 17, 9, 5, 33)
2020, 23: (27, 18, 28, 25, 10, 8, 13)
2020, 22: (2, 22, 32, 26, 28, 38, 33)
2020, 21: (25, 35, 33, 32, 38, 22, 12)
2020, 20: (22, 18, 1, 14, 3, 13, 21)
2020, 19: (1, 16, 15, 38, 10, 14, 25)
2020, 18: (29, 13, 8, 31, 38, 25, 27)
2020, 17: (11, 24, 23, 3, 19, 25, 6)
2020, 16: (8, 37, 27, 21, 1, 32, 14)
2020, 15: (16, 28, 7, 22, 24, 10, 39)
2020, 14: (7, 37, 22, 2, 36, 35, 20)
2020, 13: (8, 14, 37, 2, 34, 19, 39)
2020, 12: (10, 21, 23, 2, 20, 3, 9)
2020, 11: (28, 39, 23, 29, 5, 30, 4)
2020, 10: (18, 22, 33, 37, 17, 36, 15)
2020, 9: (36, 28, 39, 24, 5, 1, 12)
2020, 8: (15, 2, 28, 1, 36, 5, 14)
2020, 7: (25, 26, 13, 18, 9, 34, 38)
2020, 6: (28, 12, 4, 36, 21, 9, 33)
2020, 5: (5, 25, 18, 28, 6, 4, 7)
2020, 4: (26, 4, 29, 9, 30, 1, 2)
2020, 3: (38, 37, 5, 6, 18, 21, 16)
2020, 2: (19, 22, 8, 7, 32, 34, 13)
2020, 1: (36, 13, 17, 15, 34, 27, 20)
2019, 104: (8, 19, 32, 25, 9, 1, 10)
2019, 103: (37, 12, 8, 14, 22, 23, 5)
2019, 102: (11, 6, 12, 2, 22, 36, 29)
2019, 101: (21, 6, 8, 27, 32, 13, 30)
2019, 100: (27, 21, 37, 13, 8, 5, 4)
2019, 99: (11, 1, 37, 5, 28, 6, 34)
2019, 98: (21, 22, 15, 5, 4, 32, 23)
2019, 97: (29, 21, 6, 2, 20, 32, 10)
2019, 96: (20, 5, 25, 15, 19, 34, 11)
2019, 95: (23, 11, 12, 32, 33, 4, 5)
2019, 94: (4, 1, 18, 26, 33, 11, 20)
2019, 93: (23, 39, 21, 16, 9, 11, 6)
2019, 92: (5, 24, 9, 33, 17, 3, 20)
2019, 91: (6, 25, 39, 15, 30, 21, 18)
2019, 90: (7, 11, 32, 36, 15, 33, 8)
2019, 89: (29, 23, 10, 26, 15, 39, 30)
2019, 88: (29, 20, 7, 1, 4, 22, 23)
2019, 87: (28, 20, 13, 36, 30, 14, 15)
2019, 86: (3, 10, 33, 17, 31, 15, 34)
2019, 85: (30, 2, 17, 34, 24, 14, 10)
2019, 84: (15, 37, 29, 16, 21, 4, 30)
2019, 83: (34, 5, 23, 33, 14, 1, 11)
2019, 82: (3, 19, 17, 5, 7, 38, 23)
2019, 81: (30, 11, 32, 33, 20, 35, 16)
2019, 80: (19, 24, 7, 14, 8, 29, 37)
2019, 79: (27, 15, 20, 13, 22, 31, 21)
2019, 78: (22, 38, 16, 29, 14, 37, 18)
2019, 77: (27, 13, 17, 35, 9, 20, 14)
2019, 76: (22, 10, 26, 34, 35, 29, 17)
2019, 75: (38, 26, 20, 3, 10, 15, 39)
2019, 74: (16, 10, 38, 35, 29, 22, 37)
2019, 73: (17, 27, 37, 33, 11, 34, 28)
2019, 72: (14, 31, 13, 12, 17, 23, 2)
2019, 71: (18, 19, 4, 17, 39, 9, 36)
2019, 70: (11, 26, 33, 16, 8, 25, 5)
2019, 69: (21, 12, 37, 23, 19, 4, 7)
2019, 68: (4, 12, 30, 3, 7, 15, 36)
2019, 67: (35, 5, 11, 22, 32, 10, 19)
2019, 66: (31, 16, 4, 28, 24, 15, 22)
2019, 65: (16, 31, 21, 29, 38, 11, 9)
2019, 64: (6, 12, 31, 1, 2, 21, 32)
2019, 63: (28, 19, 36, 24, 34, 39, 3)
2019, 62: (16, 19, 22, 25, 35, 29, 34)
2019, 61: (33, 22, 30, 35, 1, 9, 4)
2019, 60: (35, 39, 36, 27, 34, 32, 15)
2019, 59: (17, 26, 7, 31, 18, 39, 21)
2019, 58: (29, 6, 23, 30, 35, 7, 25)
2019, 57: (18, 3, 5, 9, 21, 31, 38)
2019, 56: (23, 2, 21, 22, 27, 1, 15)
2019, 55: (38, 25, 35, 12, 33, 32, 26)
2019, 54: (16, 22, 34, 30, 1, 32, 8)
2019, 53: (17, 2, 28, 36, 35, 37, 34)
2019, 52: (2, 1, 14, 6, 31, 39, 11)
2019, 51: (24, 38, 35, 7, 26, 17, 18)
2019, 50: (31, 3, 14, 11, 5, 1, 33)
2019, 49: (26, 19, 32, 11, 15, 22, 38)
2019, 48: (5, 37, 22, 34, 2, 23, 19)
2019, 47: (5, 38, 25, 4, 29, 24, 3)
2019, 46: (25, 30, 19, 17, 14, 32, 13)
2019, 45: (25, 39, 4, 10, 27, 30, 21)
2019, 44: (16, 34, 1, 4, 27, 28, 3)
2019, 43: (1, 23, 6, 39, 35, 34, 11)
2019, 42: (6, 9, 34, 20, 13, 37, 4)
2019, 41: (34, 28, 4, 17, 5, 30, 11)
2019, 40: (33, 37, 2, 16, 11, 28, 21)
2019, 39: (11, 9, 37, 16, 17, 35, 12)
2019, 38: (/(7($.)
2019, 37: (9, 14, 37, 13, 22, 26, 4)
2019, 36: (6, 27, 13, 20, 22, 21, 36)
2019, 35: (36, 38, 14, 22, 4, 33, 37)
2019, 34: (31, 9, 18, 24, 23, 32, 11)
2019, 33: (36, 14, 13, 20, 1, 21, 27)
2019, 32: (31, 1, 3, 24, 33, 27, 9)
2019, 31: (10, 27, 23, 9, 22, 5, 35)
2019, 30: (10, 19, 13, 11, 35, 4, 2)
2019, 29: (17, 23, 24, 35, 19, 36, 29)
2019, 28: (8, 35, 24, 11, 16, 10, 25)
2019, 27: (6, 15, 1, 20, 16, 9, 12)
2019, 26: (17, 38, 10, 18, 14, 4, 29)
2019, 25: (5, 20, 36, 18, 3, 14, 34)
2019, 24: (6, 15, 4, 28, 23, 21, 8)
2019, 23: (19, 31, 30, 15, 8, 22, 14)
2019, 22: (35, 36, 10, 8, 37, 30, 13)
2019, 21: (37, 4, 33, 17, 13, 22, 26)
2019, 20: (22, 26, 4, 23, 10, 24, 2)
2019, 19: (19, 34, 35, 12, 14, 21, 6)
2019, 18: (29, 38, 15, 18, 35, 7, 30)
2019, 17: (4, 29, 34, 30, 3, 14, 31)
2019, 16: (34, 33, 25, 15, 10, 36, 26)
2019, 15: (22, 37, 10, 6, 25, 8, 38)
2019, 14: (7, 25, 20, 22, 27, 29, 17)
2019, 13: (15, 12, 23, 39, 31, 38, 14)
2019, 12: (32, 7, 11, 18, 3, 37, 5)
2019, 11: (20, 10, 11, 34, 28, 21, 27)
2019, 10: (22, 13, 33, 34, 10, 21, 4)
2019, 9: (6, 11, 13, 16, 12, 37, 10)
2019, 8: (33, 10, 29, 34, 11, 13, 15)
2019, 7: (8, 5, 3, 12, 38, 15, 10)
2019, 6: (39, 37, 2, 21, 4, 26, 23)
2019, 5: (3, 30, 37, 24, 5, 39, 23)
2019, 4: (19, 3, 1, 7, 10, 30, 20)
